Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Queens,Floral Park,4c76ff35a5676dcb72671721,Flavor Of India,6,5.7,6
Queens,Floral Park,4df0f39dd4c04d0392c853ea,Sagar Chinese,7,6.1,6
Queens,Floral Park,0,0,0,0.0,0
Queens,Floral Park,0,0,0,0.0,0
Queens,Holliswood,4f580c1be4b0bdfd0e7e8102,Rajdhani Indian Restaurant,13,8.4,6
Queens,Jamaica Estates,4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant,10,7.3,6
Queens,Jamaica Estates,0,0,0,0.0,0
Queens,Jamaica Estates,0,0,0,0.0,0
Queens,Ravenswood,5623f6f9498e5a44a08bfae8,Boishakhi Restaurant,17,7.9,7
Queens,Bellaire,0,0,0,0.0,0
Staten Island,New Brighton,4b9be038f964a520393036e3,Dosa Garden,18,7.8,17
Staten Island,New Dorp,4be74a502468c928505a0243,Taste Of India II,29,8.1,14
Staten Island,Tompkinsville,4b9be038f964a520393036e3,Dosa Garden,18,7.8,17
Brooklyn,Ditmas Park,4db0f4371e729fcc56497f20,Mashallah,20,7.6,7
Brooklyn,Ditmas Park,519ff6c8498e1300ddcbd45c,Anarkali Indian Cuisine,14,7.5,8
Staten Island,Park Hill,0,0,0,0.0,0
Staten Island,Grant City,4be74a502468c928505a0243,Taste Of India II,29,8.1,14
Manhattan,Carnegie Hill,5272ca4511d22488f6895caf,Drunken Munkey,208,8.5,61
Manhattan,Carnegie Hill,56ed855a498ef3bb022352c3,Mughlai Indian Cuisine,27,7.9,9
Manhattan,Carnegie Hill,5b0c8e2d2f97ec002c67a428,Ashoka Fine Dine,10,7.8,5
Manhattan,Civic Center,4bbb9dbded7776b0e1ad3e51,Tamarind TriBeCa,590,9.1,148
Manhattan,Midtown South,5a29a12b898bdc04b45751ad,Deep Indian Kitchen (indikitch),39,8.7,3
Queens,Jamaica Hills,4bad49a0f964a52041423be3,Annam Brahma,15,7.8,3
Queens,Jamaica Hills,4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant,10,7.3,6
Queens,Jamaica Hills,4cc08b0900d83704ed474b5c,Sybil's Bakery,8,7.0,3
Queens,Jamaica Hills,0,0,0,0.0,0
Bronx,Concourse Village,551b7f75498e86c00a0ed2e1,Hungry Bird,8,6.7,3
Manhattan,Sutton Place,4a63bfb4f964a520b3c51fe3,Chola Eclectic Indian Cuisine,155,8.4,58
Manhattan,Sutton Place,4fe4fb50c2eee335e4fea69d,Moti Mahal Delux,186,8.4,83
Manhattan,Sutton Place,4f57f98fe4b0bd50f6bb8b31,The Kati Roll Company,182,8.1,56
Manhattan,Turtle Bay,59fcd48c464d6567ed2f5e37,The Kati Roll Company,20,8.8,4
Manhattan,Turtle Bay,4a5b660df964a52015bb1fe3,Amma,101,8.0,67
Manhattan,Turtle Bay,5ac3984ae57ca64be4dc6168,INDAY,33,8.1,10
Manhattan,Tudor City,59fcd48c464d6567ed2f5e37,The Kati Roll Company,20,8.8,4
Manhattan,Tudor City,5ac3984ae57ca64be4dc6168,INDAY,33,8.1,10
Queens,Sunnyside Gardens,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.6,16
Queens,Blissville,5b931ea69d7468002c3b1382,Adda,129,9.1,35
Brooklyn,Broadway Junction,5539753f498edbace4746b67,Tandoori Masala,12,8.0,2
Brooklyn,Erasmus,564d283d498e6e851df79d87,Great Indian Curry,3,6.4,2
Queens,Queensbridge,50a287a7e4b0033f830f06db,Raj's Indian Kitchen,22,7.6,11
Queens,Queensbridge,4b1b341bf964a5208af923e3,Five Star Banquet,30,6.8,31
Staten Island,Fox Hills,0,0,0,0.0,0
